ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
DeSantis,2/19/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2455
Trump,2/19/2024 12:00:00 AM,$0.45,$0.47,$0.45,$0.47,7466
Biden,2/19/2024 12:00:00 AM,$0.42,$0.42,$0.40,$0.41,8311
Harris,2/19/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,1571
Buttigieg,2/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/19/2024 12:00:00 AM,$0.11,$0.11,$0.10,$0.10,3803
Ramaswamy,2/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,2/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/19/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,4018
Haley,2/19/2024 12:00:00 AM,$0.03,$0.05,$0.03,$0.04,3699
DeSantis,2/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,959
Trump,2/20/2024 12:00:00 AM,$0.47,$0.47,$0.45,$0.46,5419
Biden,2/20/2024 12:00:00 AM,$0.41,$0.42,$0.40,$0.41,1774
Harris,2/20/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,553
Buttigieg,2/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/20/2024 12:00:00 AM,$0.10,$0.13,$0.10,$0.12,7193
Ramaswamy,2/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,2/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/20/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1878
Haley,2/20/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,5400
DeSantis,2/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,450
Trump,2/21/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.45,7508
Biden,2/21/2024 12:00:00 AM,$0.41,$0.42,$0.40,$0.41,1841
Harris,2/21/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1302
Buttigieg,2/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/21/2024 12:00:00 AM,$0.12,$0.14,$0.11,$0.13,5151
Ramaswamy,2/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,2/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,583
RFK Jr.,2/21/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,2779
Haley,2/21/2024 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,14744
DeSantis,2/22/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,14193
Trump,2/22/2024 12:00:00 AM,$0.45,$0.47,$0.44,$0.45,7447
Biden,2/22/2024 12:00:00 AM,$0.41,$0.42,$0.40,$0.40,12700
Harris,2/22/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,5588
Buttigieg,2/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/22/2024 12:00:00 AM,$0.13,$0.15,$0.12,$0.12,7709
Ramaswamy,2/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,2/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/22/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,8064
Haley,2/22/2024 12:00:00 AM,$0.04,$0.06,$0.03,$0.04,13385
DeSantis,2/23/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,457
Trump,2/23/2024 12:00:00 AM,$0.45,$0.46,$0.44,$0.45,6098
Biden,2/23/2024 12:00:00 AM,$0.40,$0.42,$0.40,$0.40,4876
Harris,2/23/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,2150
Buttigieg,2/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/23/2024 12:00:00 AM,$0.12,$0.13,$0.11,$0.12,2567
Ramaswamy,2/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,2/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/23/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1245
Haley,2/23/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,4855
DeSantis,2/24/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,33
Trump,2/24/2024 12:00:00 AM,$0.45,$0.46,$0.45,$0.45,3600
Biden,2/24/2024 12:00:00 AM,$0.40,$0.42,$0.40,$0.41,1699
Harris,2/24/2024 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,275
Buttigieg,2/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/24/2024 12:00:00 AM,$0.12,$0.12,$0.11,$0.12,998
Ramaswamy,2/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,2/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/24/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,12405
Haley,2/24/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,4188
DeSantis,2/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,875
Trump,2/25/2024 12:00:00 AM,$0.45,$0.46,$0.45,$0.46,5159
Biden,2/25/2024 12:00:00 AM,$0.41,$0.42,$0.40,$0.40,4596
Harris,2/25/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,670
Buttigieg,2/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/25/2024 12:00:00 AM,$0.12,$0.12,$0.11,$0.11,1535
Ramaswamy,2/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Scott,2/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
RFK Jr.,2/25/2024 12:00:00 AM,$0.04,$0.06,$0.04,$0.05,13752
Haley,2/25/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,3259
DeSantis,2/26/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2565
Trump,2/26/2024 12:00:00 AM,$0.46,$0.47,$0.46,$0.47,5341
Biden,2/26/2024 12:00:00 AM,$0.40,$0.42,$0.40,$0.40,8871
Harris,2/26/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,3795
Buttigieg,2/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/26/2024 12:00:00 AM,$0.11,$0.12,$0.11,$0.11,8797
Ramaswamy,2/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,2/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,926
RFK Jr.,2/26/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,2127
Haley,2/26/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,5996
DeSantis,2/27/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3237
Trump,2/27/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.47,7951
Biden,2/27/2024 12:00:00 AM,$0.40,$0.42,$0.40,$0.41,5705
Harris,2/27/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,8764
Buttigieg,2/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/27/2024 12:00:00 AM,$0.11,$0.12,$0.10,$0.10,4337
Ramaswamy,2/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,880
Scott,2/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/27/2024 12:00:00 AM,$0.04,$0.06,$0.04,$0.06,19323
Haley,2/27/2024 12:00:00 AM,$0.04,$0.06,$0.03,$0.05,15821
DeSantis,2/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4832
Trump,2/28/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.46,4216
Biden,2/28/2024 12:00:00 AM,$0.41,$0.42,$0.40,$0.42,5276
Harris,2/28/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,2637
Buttigieg,2/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10002
Newsom,2/28/2024 12:00:00 AM,$0.10,$0.11,$0.10,$0.10,1644
Ramaswamy,2/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,2/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/28/2024 12:00:00 AM,$0.06,$0.06,$0.04,$0.05,1976
Haley,2/28/2024 12:00:00 AM,$0.05,$0.05,$0.03,$0.04,5457
DeSantis,2/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2719
Trump,2/29/2024 12:00:00 AM,$0.46,$0.47,$0.46,$0.47,4404
Biden,2/29/2024 12:00:00 AM,$0.42,$0.42,$0.40,$0.42,5590
Harris,2/29/2024 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,885
Buttigieg,2/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/29/2024 12:00:00 AM,$0.10,$0.11,$0.10,$0.10,5253
Ramaswamy,2/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Scott,2/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/29/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,8269
Haley,2/29/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,2691
DeSantis,3/1/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,20684
Trump,3/1/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.47,1954
Biden,3/1/2024 12:00:00 AM,$0.42,$0.42,$0.41,$0.41,2545
Harris,3/1/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,1
Buttigieg,3/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/1/2024 12:00:00 AM,$0.10,$0.11,$0.09,$0.09,1503
Ramaswamy,3/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/1/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,1086
Haley,3/1/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,506
DeSantis,3/2/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,261
Trump,3/2/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.47,2187
Biden,3/2/2024 12:00:00 AM,$0.41,$0.42,$0.41,$0.41,5463
Harris,3/2/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1068
Buttigieg,3/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,654
Newsom,3/2/2024 12:00:00 AM,$0.09,$0.10,$0.09,$0.09,984
Ramaswamy,3/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,20148
RFK Jr.,3/2/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,472
Haley,3/2/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,1271
DeSantis,3/3/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1129
Trump,3/3/2024 12:00:00 AM,$0.47,$0.48,$0.46,$0.47,8128
Biden,3/3/2024 12:00:00 AM,$0.41,$0.43,$0.41,$0.42,11068
Harris,3/3/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,796
Buttigieg,3/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/3/2024 12:00:00 AM,$0.09,$0.09,$0.08,$0.09,2516
Ramaswamy,3/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/3/2024 12:00:00 AM,$0.04,$0.06,$0.04,$0.05,732
Haley,3/3/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,678
DeSantis,3/4/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,10601
Trump,3/4/2024 12:00:00 AM,$0.47,$0.48,$0.46,$0.48,5382
Biden,3/4/2024 12:00:00 AM,$0.42,$0.43,$0.42,$0.42,5056
Harris,3/4/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,1096
Buttigieg,3/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/4/2024 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,1956
Ramaswamy,3/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,894
Scott,3/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/4/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,2478
Haley,3/4/2024 12:00:00 AM,$0.03,$0.06,$0.03,$0.05,14314
DeSantis,3/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3225
Trump,3/5/2024 12:00:00 AM,$0.48,$0.48,$0.46,$0.47,7294
Biden,3/5/2024 12:00:00 AM,$0.42,$0.44,$0.41,$0.43,15355
Harris,3/5/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,1446
Buttigieg,3/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/5/2024 12:00:00 AM,$0.08,$0.09,$0.06,$0.06,5983
Ramaswamy,3/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/5/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,3443
Haley,3/5/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,3170
DeSantis,3/6/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2197
Trump,3/6/2024 12:00:00 AM,$0.47,$0.49,$0.47,$0.48,9536
Biden,3/6/2024 12:00:00 AM,$0.43,$0.44,$0.42,$0.43,14626
Harris,3/6/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,3798
Buttigieg,3/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/6/2024 12:00:00 AM,$0.06,$0.09,$0.06,$0.08,9761
Ramaswamy,3/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Scott,3/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/6/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,2688
Haley,3/6/2024 12:00:00 AM,$0.04,$0.04,$0.02,$0.02,37822
DeSantis,3/7/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2245
Trump,3/7/2024 12:00:00 AM,$0.48,$0.49,$0.47,$0.47,15755
Biden,3/7/2024 12:00:00 AM,$0.43,$0.44,$0.42,$0.44,13611
Harris,3/7/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,11253
Buttigieg,3/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/7/2024 12:00:00 AM,$0.08,$0.10,$0.07,$0.08,6289
Ramaswamy,3/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/7/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,2732
Haley,3/7/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,2831
DeSantis,3/8/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,95
Trump,3/8/2024 12:00:00 AM,$0.47,$0.48,$0.47,$0.47,10369
Biden,3/8/2024 12:00:00 AM,$0.44,$0.45,$0.43,$0.45,13823
Harris,3/8/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,432
Buttigieg,3/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/8/2024 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,5986
Ramaswamy,3/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4
Scott,3/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/8/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,2187
Haley,3/8/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1089
DeSantis,3/9/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5172
Trump,3/9/2024 12:00:00 AM,$0.47,$0.48,$0.47,$0.48,6528
Biden,3/9/2024 12:00:00 AM,$0.45,$0.45,$0.44,$0.45,5925
Harris,3/9/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,206
Buttigieg,3/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/9/2024 12:00:00 AM,$0.08,$0.08,$0.06,$0.07,8043
Ramaswamy,3/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/9/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,5864
Haley,3/9/2024 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,1529
DeSantis,3/10/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1135
Trump,3/10/2024 12:00:00 AM,$0.48,$0.48,$0.47,$0.47,7468
Biden,3/10/2024 12:00:00 AM,$0.45,$0.46,$0.44,$0.45,9020
Harris,3/10/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,1024
Buttigieg,3/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Newsom,3/10/2024 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,2969
Ramaswamy,3/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/10/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,318
Haley,3/10/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,121
DeSantis,3/11/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,252
Trump,3/11/2024 12:00:00 AM,$0.47,$0.48,$0.47,$0.48,7941
Biden,3/11/2024 12:00:00 AM,$0.45,$0.46,$0.44,$0.44,10228
Harris,3/11/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,999
Buttigieg,3/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/11/2024 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,1041
Ramaswamy,3/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/11/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,542
Haley,3/11/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,3686
DeSantis,3/12/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,575
Trump,3/12/2024 12:00:00 AM,$0.48,$0.48,$0.47,$0.47,3264
Biden,3/12/2024 12:00:00 AM,$0.44,$0.46,$0.44,$0.45,7418
Harris,3/12/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,389
Buttigieg,3/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/12/2024 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,3876
Ramaswamy,3/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/12/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,2815
Haley,3/12/2024 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,460
DeSantis,3/13/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2089
Trump,3/13/2024 12:00:00 AM,$0.47,$0.48,$0.47,$0.47,15431
Biden,3/13/2024 12:00:00 AM,$0.45,$0.46,$0.45,$0.45,8659
Harris,3/13/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,4851
Buttigieg,3/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/13/2024 12:00:00 AM,$0.06,$0.07,$0.05,$0.05,7442
Ramaswamy,3/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/13/2024 12:00:00 AM,$0.04,$0.06,$0.04,$0.05,5249
Haley,3/13/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,3486
DeSantis,3/14/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,583
Trump,3/14/2024 12:00:00 AM,$0.47,$0.48,$0.47,$0.48,3457
Biden,3/14/2024 12:00:00 AM,$0.45,$0.46,$0.45,$0.46,4187
Harris,3/14/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,1810
Buttigieg,3/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/14/2024 12:00:00 AM,$0.05,$0.07,$0.05,$0.05,1520
Ramaswamy,3/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,33
Scott,3/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/14/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,3630
Haley,3/14/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,726
DeSantis,3/15/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1469
Trump,3/15/2024 12:00:00 AM,$0.48,$0.48,$0.47,$0.47,5481
Biden,3/15/2024 12:00:00 AM,$0.46,$0.46,$0.45,$0.46,3068
Harris,3/15/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,561
Buttigieg,3/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/15/2024 12:00:00 AM,$0.05,$0.07,$0.05,$0.05,2375
Ramaswamy,3/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,35
Scott,3/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/15/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,5663
Haley,3/15/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1132
DeSantis,3/16/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1398
Trump,3/16/2024 12:00:00 AM,$0.47,$0.48,$0.47,$0.47,1612
Biden,3/16/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.47,5998
Harris,3/16/2024 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,300
Buttigieg,3/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/16/2024 12:00:00 AM,$0.05,$0.07,$0.05,$0.06,131
Ramaswamy,3/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/16/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,1500
Haley,3/16/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1022
DeSantis,3/17/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,5261
Trump,3/17/2024 12:00:00 AM,$0.47,$0.48,$0.47,$0.47,11238
Biden,3/17/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.47,7047
Harris,3/17/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,4640
Buttigieg,3/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/17/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,4329
Ramaswamy,3/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/17/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,8210
Haley,3/17/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,14558
DeSantis,3/18/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2460
Trump,3/18/2024 12:00:00 AM,$0.47,$0.48,$0.46,$0.46,3139
Biden,3/18/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.47,4932
Harris,3/18/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,16
Buttigieg,3/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/18/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,191
Ramaswamy,3/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,3/18/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,2509
Haley,3/18/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,704
DeSantis,3/19/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,108
Trump,3/19/2024 12:00:00 AM,$0.46,$0.47,$0.46,$0.46,2449
Biden,3/19/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.47,4441
Harris,3/19/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,16
Buttigieg,3/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/19/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,8128
Ramaswamy,3/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,3/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6500
RFK Jr.,3/19/2024 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,10
Haley,3/19/2024 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,13543
DeSantis,3/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,59
Trump,3/20/2024 12:00:00 AM,$0.46,$0.47,$0.46,$0.47,10141
Biden,3/20/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.46,5572
Harris,3/20/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,52
Buttigieg,3/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/20/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,158
Ramaswamy,3/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1320
Scott,3/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
RFK Jr.,3/20/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,2314
Haley,3/20/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,818
DeSantis,3/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6377
Trump,3/21/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.47,8533
Biden,3/21/2024 12:00:00 AM,$0.46,$0.48,$0.46,$0.47,6673
Harris,3/21/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1143
Buttigieg,3/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,3/21/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1714
Ramaswamy,3/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
